date,house_price_idx,apt_trade_count,buyer_dominance
2023-05,97.7969760987439,40746.0,84.7777777777778
2023-06,97.7564096962821,39622.0,86.3277777777778
2023-07,97.8190914012128,36260.0,87.4708333333333
2023-08,98.0474849231658,39277.0,89.1944444444444
2023-09,98.3943051415516,37629.0,90.4027777777778
2023-10,98.661216794484,35454.0,90.1611111111111
2023-11,98.7038987956797,32821.0,88.4152777777778
2023-12,98.5578888087322,26934.0,86.8055555555556
2024-01,98.3599195508383,32111.0,86.664402173913
2024-02,98.1512624440442,33333.0,86.6182065217391
2024-03,97.9767121041568,40233.0,87.3002717391304
2024-04,97.9021922902369,44119.0,88.6657608695652
2024-05,97.8770590937844,43278.0,90.3790760869565
2024-06,97.9149062951534,43300.0,91.6236413043478
